"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"1","Draymond Green","Golden State Warriors","3/5/2017",2016,3,7,50,"shot_yes","Alley Oop Layup shot","2PT Field Goal",1,"New York Knicks",17,2,29
"2","Draymond Green","Golden State Warriors","12/30/2016",2016,3,7,48,"shot_yes","Alley Oop Layup shot","2PT Field Goal",1,"Dallas Mavericks",9,7,29
"3","Draymond Green","Golden State Warriors","1/16/2017",2016,1,9,6,"shot_yes","Alley Oop Layup shot","2PT Field Goal",1,"Cleveland Cavaliers",4,11,3
"4","Draymond Green","Golden State Warriors","12/7/2016",2016,2,0,43,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,24
"5","Draymond Green","Golden State Warriors","11/19/2016",2016,1,8,43,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,4
"6","Draymond Green","Golden State Warriors","1/22/2017",2016,3,9,27,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,27
"7","Draymond Green","Golden State Warriors","11/4/2016",2016,4,6,6,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,42
"8","Draymond Green","Golden State Warriors","3/16/2017",2016,3,1,20,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,35
"9","Draymond Green","Golden State Warriors","2/4/2017",2016,4,0,57,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,48
"10","Draymond Green","Golden State Warriors","12/20/2016",2016,3,3,22,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,33
"11","Draymond Green","Golden State Warriors","1/2/2017",2016,1,10,50,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,2
"12","Draymond Green","Golden State Warriors","12/25/2016",2016,4,1,31,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,47
"13","Draymond Green","Golden State Warriors","11/21/2016",2016,1,8,13,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,4
"14","Draymond Green","Golden State Warriors","1/20/2017",2016,2,2,22,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,22
"15","Draymond Green","Golden State Warriors","2/27/2017",2016,1,5,36,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,7
"16","Draymond Green","Golden State Warriors","11/16/2016",2016,2,3,43,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,21
"17","Draymond Green","Golden State Warriors","2/27/2017",2016,4,4,21,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,44
"18","Draymond Green","Golden State Warriors","11/9/2016",2016,4,8,48,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,40
"19","Draymond Green","Golden State Warriors","12/7/2016",2016,1,6,31,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,6
"20","Draymond Green","Golden State Warriors","3/28/2017",2016,1,9,6,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,3
"21","Draymond Green","Golden State Warriors","3/20/2017",2016,3,9,8,"shot_no","Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,27
"22","Draymond Green","Golden State Warriors","3/18/2017",2016,1,1,7,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,11
"23","Draymond Green","Golden State Warriors","11/19/2016",2016,1,8,19,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,4
"24","Draymond Green","Golden State Warriors","10/30/2016",2016,1,1,58,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,11
"25","Draymond Green","Golden State Warriors","3/21/2017",2016,2,3,24,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,21
"26","Draymond Green","Golden State Warriors","12/25/2016",2016,2,8,48,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",-6,7,16
"27","Draymond Green","Golden State Warriors","1/25/2017",2016,3,6,54,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Charlotte Hornets",-17,2,30
"28","Draymond Green","Golden State Warriors","11/13/2016",2016,4,2,39,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Phoenix Suns",1,8,46
"29","Draymond Green","Golden State Warriors","10/25/2016",2016,1,9,28,"shot_no","Cutting Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-19,3,3
"30","Draymond Green","Golden State Warriors","12/15/2016",2016,3,9,39,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"New York Knicks",0,13,27
"31","Draymond Green","Golden State Warriors","1/29/2017",2016,1,6,16,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",-15,-1,6
"32","Draymond Green","Golden State Warriors","1/2/2017",2016,4,0,53,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Denver Nuggets",6,21,48
"33","Draymond Green","Golden State Warriors","12/28/2016",2016,3,7,14,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Toronto Raptors",4,8,29
"34","Draymond Green","Golden State Warriors","2/11/2017",2016,2,10,37,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Oklahoma City Thunder",-19,-6,14
"35","Draymond Green","Golden State Warriors","11/9/2016",2016,1,2,15,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Dallas Mavericks",1,11,10
"36","Draymond Green","Golden State Warriors","2/10/2017",2016,2,3,16,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Memphis Grizzlies",-9,2,21
"37","Draymond Green","Golden State Warriors","10/25/2016",2016,2,6,14,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"San Antonio Spurs",4,16,18
"38","Draymond Green","Golden State Warriors","11/25/2016",2016,1,4,14,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",-21,-2,8
"39","Draymond Green","Golden State Warriors","12/28/2016",2016,2,4,16,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Toronto Raptors",-6,7,20
"40","Draymond Green","Golden State Warriors","12/7/2016",2016,3,11,38,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",12,16,25
"41","Draymond Green","Golden State Warriors","11/25/2016",2016,2,6,17,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",1,21,18
"42","Draymond Green","Golden State Warriors","1/18/2017",2016,1,7,54,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Oklahoma City Thunder",-16,21,5
"43","Draymond Green","Golden State Warriors","12/5/2016",2016,3,3,40,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Indiana Pacers",-2,13,33
"44","Draymond Green","Golden State Warriors","11/7/2016",2016,1,4,1,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",1,16,8
"45","Draymond Green","Golden State Warriors","12/1/2016",2016,1,5,41,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Houston Rockets",-7,13,7
"46","Draymond Green","Golden State Warriors","2/1/2017",2016,4,10,36,"shot_no","Driving Bank Hook Shot","2PT Field Goal",7,"Charlotte Hornets",64,38,38
"47","Draymond Green","Golden State Warriors","11/13/2016",2016,1,3,52,"shot_no","Driving Bank shot","2PT Field Goal",6,"Phoenix Suns",53,43,9
"48","Draymond Green","Golden State Warriors","12/20/2016",2016,1,6,47,"shot_no","Driving Bank shot","2PT Field Goal",10,"Utah Jazz",92,46,6
"49","Draymond Green","Golden State Warriors","3/31/2017",2016,2,3,5,"shot_yes","Driving Bank shot","2PT Field Goal",4,"Houston Rockets",-9,46,21
"50","Draymond Green","Golden State Warriors","12/30/2016",2016,1,5,57,"shot_yes","Driving Bank shot","2PT Field Goal",3,"Dallas Mavericks",-9,31,7
"51","Draymond Green","Golden State Warriors","11/7/2016",2016,4,5,17,"shot_yes","Driving Bank shot","2PT Field Goal",7,"New Orleans Pelicans",12,77,43
"52","Draymond Green","Golden State Warriors","4/4/2017",2016,2,4,56,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,20
"53","Draymond Green","Golden State Warriors","2/28/2017",2016,2,4,16,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,20
