"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"1","Kevin Durant","Golden State Warriors","12/23/2016",2016,3,9,37,"shot_yes","Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,27
"2","Kevin Durant","Golden State Warriors","11/18/2016",2016,3,8,3,"shot_yes","Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,28
"3","Kevin Durant","Golden State Warriors","12/5/2016",2016,3,9,18,"shot_yes","Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,27
"4","Kevin Durant","Golden State Warriors","11/4/2016",2016,3,5,52,"shot_yes","Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,31
"5","Kevin Durant","Golden State Warriors","10/30/2016",2016,4,1,19,"shot_yes","Alley Oop Layup shot","2PT Field Goal",0,"Phoenix Suns",-1,3,47
"6","Kevin Durant","Golden State Warriors","2/8/2017",2016,3,10,1,"shot_no","Alley Oop Layup shot","2PT Field Goal",1,"Chicago Bulls",2,18,26
"7","Kevin Durant","Golden State Warriors","2/23/2017",2016,3,11,26,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,25
"8","Kevin Durant","Golden State Warriors","11/13/2016",2016,3,5,16,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,31
"9","Kevin Durant","Golden State Warriors","11/19/2016",2016,1,10,25,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,2
"10","Kevin Durant","Golden State Warriors","1/20/2017",2016,3,6,38,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,30
"11","Kevin Durant","Golden State Warriors","11/13/2016",2016,1,11,46,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,1
"12","Kevin Durant","Golden State Warriors","1/2/2017",2016,2,3,0,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,21
"13","Kevin Durant","Golden State Warriors","11/10/2016",2016,1,9,27,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,3
"14","Kevin Durant","Golden State Warriors","11/16/2016",2016,1,9,8,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,3
"15","Kevin Durant","Golden State Warriors","11/3/2016",2016,3,11,17,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,25
"16","Kevin Durant","Golden State Warriors","1/20/2017",2016,3,9,3,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,27
"17","Kevin Durant","Golden State Warriors","2/11/2017",2016,4,5,46,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,43
"18","Kevin Durant","Golden State Warriors","1/8/2017",2016,4,3,39,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,45
"19","Kevin Durant","Golden State Warriors","1/18/2017",2016,2,4,16,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,20
"20","Kevin Durant","Golden State Warriors","2/13/2017",2016,1,8,12,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,4
"21","Kevin Durant","Golden State Warriors","2/4/2017",2016,2,3,19,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,21
"22","Kevin Durant","Golden State Warriors","12/28/2016",2016,2,9,57,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,15
