"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"1","Klay Thompson","Golden State Warriors","11/1/2016",2016,1,9,28,"shot_yes","Alley Oop Layup shot","2PT Field Goal",2,"Portland Trail Blazers",-25,7,3
"2","Klay Thompson","Golden State Warriors","2/23/2017",2016,4,10,16,"shot_yes","Alley Oop Layup shot","2PT Field Goal",1,"Los Angeles Clippers",2,11,38
"3","Klay Thompson","Golden State Warriors","2/25/2017",2016,3,5,30,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,31
"4","Klay Thompson","Golden State Warriors","3/21/2017",2016,4,8,56,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Dallas Mavericks",0,-1,40
"5","Klay Thompson","Golden State Warriors","11/21/2016",2016,2,4,39,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Indiana Pacers",2,16,20
"6","Klay Thompson","Golden State Warriors","12/30/2016",2016,4,7,17,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Dallas Mavericks",-6,7,41
"7","Klay Thompson","Golden State Warriors","11/7/2016",2016,4,7,46,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",4,26,41
"8","Klay Thompson","Golden State Warriors","12/5/2016",2016,2,8,55,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Indiana Pacers",4,26,16
"9","Klay Thompson","Golden State Warriors","11/25/2016",2016,4,7,31,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",1,16,41
"10","Klay Thompson","Golden State Warriors","11/13/2016",2016,2,8,47,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Phoenix Suns",15,21,16
"11","Klay Thompson","Golden State Warriors","11/7/2016",2016,3,10,17,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",-1,11,26
"12","Klay Thompson","Golden State Warriors","3/28/2017",2016,1,6,44,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Houston Rockets",1,-1,6
"13","Klay Thompson","Golden State Warriors","12/10/2016",2016,2,5,5,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",-17,11,19
"14","Klay Thompson","Golden State Warriors","2/4/2017",2016,3,8,29,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Sacramento Kings",19,11,28
"15","Klay Thompson","Golden State Warriors","12/28/2016",2016,1,11,49,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Toronto Raptors",2,2,1
"16","Klay Thompson","Golden State Warriors","11/21/2016",2016,2,2,42,"shot_no","Cutting Layup Shot","2PT Field Goal",0,"Indiana Pacers",1,0,22
"17","Klay Thompson","Golden State Warriors","11/13/2016",2016,3,4,51,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Phoenix Suns",14,8,32
"18","Klay Thompson","Golden State Warriors","1/6/2017",2016,1,3,2,"shot_yes","Cutting Layup Shot","2PT Field Goal",3,"Memphis Grizzlies",25,21,9
"19","Klay Thompson","Golden State Warriors","12/10/2016",2016,2,7,30,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",10,2,17
"20","Klay Thompson","Golden State Warriors","10/28/2016",2016,2,4,4,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",9,13,20
"21","Klay Thompson","Golden State Warriors","1/25/2017",2016,3,11,10,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Charlotte Hornets",6,2,25
"22","Klay Thompson","Golden State Warriors","3/16/2017",2016,1,7,28,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Orlando Magic",-11,16,5
"23","Klay Thompson","Golden State Warriors","3/20/2017",2016,2,0,55,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",9,2,24
