"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"1","Stephen Curry","Golden State Warriors","12/15/2016",2016,3,3,51,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",3,"New York Knicks",25,21,33
"2","Stephen Curry","Golden State Warriors","10/28/2016",2016,3,9,14,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",9,26,27
"3","Stephen Curry","Golden State Warriors","11/1/2016",2016,2,5,8,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",-22,2,19
"4","Stephen Curry","Golden State Warriors","12/1/2016",2016,3,5,27,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Houston Rockets",2,7,31
"5","Stephen Curry","Golden State Warriors","4/4/2017",2016,3,2,4,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",1,26,34
"6","Stephen Curry","Golden State Warriors","11/19/2016",2016,4,5,36,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Milwaukee Bucks",2,7,43
"7","Stephen Curry","Golden State Warriors","11/21/2016",2016,3,9,51,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Indiana Pacers",-1,2,27
"8","Stephen Curry","Golden State Warriors","3/29/2017",2016,2,1,40,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"San Antonio Spurs",28,0,23
"9","Stephen Curry","Golden State Warriors","11/25/2016",2016,3,10,59,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",13,6,26
"10","Stephen Curry","Golden State Warriors","12/28/2016",2016,3,3,54,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Toronto Raptors",-9,8,33
"11","Stephen Curry","Golden State Warriors","3/28/2017",2016,4,9,36,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Houston Rockets",-4,-5,39
"12","Stephen Curry","Golden State Warriors","12/11/2016",2016,4,3,34,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",14,7,45
"13","Stephen Curry","Golden State Warriors","12/10/2016",2016,3,4,12,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",-24,-6,32
"14","Stephen Curry","Golden State Warriors","2/27/2017",2016,1,9,29,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Philadelphia 76ers",-7,-6,3
"15","Stephen Curry","Golden State Warriors","3/6/2017",2016,1,1,40,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Atlanta Hawks",20,7,11
"16","Stephen Curry","Golden State Warriors","3/21/2017",2016,1,8,40,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Dallas Mavericks",12,-1,4
"17","Stephen Curry","Golden State Warriors","12/3/2016",2016,3,9,14,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Phoenix Suns",0,11,27
"18","Stephen Curry","Golden State Warriors","2/27/2017",2016,4,5,51,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",12,7,43
"19","Stephen Curry","Golden State Warriors","12/7/2016",2016,1,3,8,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",-7,21,9
